brandname,pid,pname,product_price,product_volume,category
닥터자르트,101218,NEW 리쥬비네이팅 뷰티 밤 SPF35 PA++,"29,000원",50ml,비비크림
닥터자르트,4414,V7 뷰티 밤,"36,000원",40ml,비비크림
닥터자르트,4415,타임 리터닝 비비크림,"38,000원",40ml,비비크림
닥터자르트,4416,실버라벨 플러스 비비크림,"34,000원",40ml,비비크림
닥터자르트,4153,디스어포어 뷰티 밤(비비크림),"34,000원",50ml,비비크림
닥터자르트,50757,블루라벨 비비크림,"32,000원",30g,비비크림
닥터자르트,4419,블랙라벨 비비크림,"34,000원",50ml,비비크림
닥터자르트,607,리쥬비네이팅 뷰티 밤 (실버라벨 비비크림),"29,000원",50ml,비비크림
닥터자르트,41613,리쥬비네이팅 뷰티 밤,"29,000원",50ml ,비비크림
닥터자르트,22100,워터퓨즈 스마트 젤 비비,"39,800원",30ml,비비크림
닥터자르트,4413,BB 터치업 브러쉬,"32,000원",40ml,"비비크림,하이라이터"
닥터자르트,2114,핑크라벨 쉬머링 뷰티 밤,"36,000원",50ml,비비크림
닥터자르트,4417,프리미엄 비비크림,"48,000원",40ml,비비크림
닥터자르트,4156,바운스 뷰티 밤,"39,000원",12g,"비비크림,파운데이션"
닥터자르트,4418,블랙라벨 플러스 비비크림,"36,000원",40ml,비비크림
닥터자르트,4421,래디언스 비비크림,"36,000원",40ml,비비크림
닥터자르트,26406,BB 바운스 뷰티 밤 모이스트,"39,000원",12g,"비비크림,쿠션타입"
닥터지(고운세상),1784,토탈 액티브 듀얼 BB 크림 SPF50+ PA+++,"38,000원",50ml,비비크림
닥터지(고운세상),47761,하이드라 인텐시브 블레미쉬 밤,"38,000원",60ml,비비크림
닥터지(고운세상),1799,퍼펙트 포어 커버 비비 SPF30 PA++,"28,000원",45ml,비비크림
닥터지(고운세상),13028,래디언스 듀얼 에센스 비비 SPF50+ PA+++,"35,000원",40g,비비크림
닥터지(고운세상),3048,브라이트닝 밤 SPF30 PA++,"35,000원",45ml,비비크림
닥터지(고운세상),13027,에이지 디펜스 비비 SPF50+ PA+++,"35,000원",50ml,비비크림
닥터지(고운세상),13025,슈퍼 라이트 브라이트닝 밤 SPF30 PA++,"35,000원",45ml,비비크림
닥터지(고운세상),13026,데일리 세이프 비비 SPF30 PA++,"28,000원",45ml,비비크림
닥터지(고운세상),13029,블링 블링 BB 크림 SPF35 PA++,"20,000원",45ml,비비크림
닥터지(고운세상),13032,프라이머 비비 프로텍터 SPF38 PA+++,"49,000원",45ml,비비크림
닥터지(고운세상),54909,더마닥터랩 하이드로모이스트 커버 비비 SPF35 PA++,"25,000원",45ml,비비크림
닥터지(고운세상),13031,악티펌 리커버리 슈퍼 블레미쉬 베이스 SPF30 PA++,"38,000원",45ml,비비크림
닥터진 ,37014,데일리 디펜스 비비 SPF30 PA+++,"35,000원",50ml,비비크림
닥터코스,27750,볼류메트릭 비비크림 (물광 비비크림),"27,000원",40ml,비비크림
닥터큐,106167,오리진 비비 크림 SPF38 PA+++,"50,000원",40ml,비비크림
닥터크롬셀,99952,네추럴퍼펙션 로맨티끄 21 비비 SPF 50+ PA+++,"87,000원",50g,비비크림
닥터포스킨,21133,라이프코드 프리미엄 비비 SPF30 PA+++,"56,000원",45g,비비크림
닥터헤디슨,106596,이지에프 비비크림 SPF37 PA++,"80,000원",50ml,비비크림
더  히스토리 오브 후,15981,미백 선 비비,"55,000원",40ml,비비크림
더  히스토리 오브 후,15990,럭셔리 비비 SPF20 PA++,"60,000원",45ml,비비크림
더마리프트,12823,내추럴 핏 블레미쉬 밤 SPF30 PA+++,"24,000원",30ml,비비크림
더마리프트,12822,아이디얼 핏 블레미쉬 밤 SPF30 PA++,"24,000원",30ml,비비크림
더마콜,18650,비비크림 SPF30,"29,000원",50ml,비비크림
더마펌,40674,인텐시브 블레미쉬 밤 ,"55,000원",50ml,비비크림
더마피아(DERMAPIA),94275,프라이머 비비 플로리스 피니시 SPF37 PA++,"47,000원",40ml,비비크림
더마하우스,32311,프리미엄 내추럴 썬 비비 SPF28 PA++,"7,900원",50ml,비비크림
더마허브,78919,셀 화이트닝 비비,"69,000원",50g,비비크림
더바디샵,11915,티트리 플로리스 비비 크림,"19,000원",40ml,비비크림
더바디샵,11752,모이스처 화이트 시소 비비 세럼 인사이드 SPF25 PA+++,"34,000원",30ml,비비크림
더브라이드,82361,아티스트 BC크림,"28,000원","35g,35g","비비크림,씨씨크림"
더블유랩,59571,감쪽비비,"25,000원",50ml,비비크림
더블유랩,38547,철벽 비비 ,"29,600원",50ml,비비크림
더샘,68477,에코 소울 포슬린 스킨 비비 크림,"15,000원",4.5g,비비크림
더샘,51449,에코소울 볼륨 누드 비비 리퀴드,"16,000원",25ml,비비크림
더샘,90596,샘물 에이 클린 비비  SPF30 PA++,"5,500원",15ml,비비크림
더샘,51053,샘물 퍼펙트 포어 비비 ,"5,500원",15ml,비비크림
더샘,95818,에코 소울 스킨 웨어 비비 SPF42 PA+++,"18,000원",40ml,비비크림
더샘,39981,샘물 워터 비비 케익 SPF50+ PA+++,"15,000원",16g,비비크림
더샘,51057,샘물 모이스트 비비,"5,500원",15ml,비비크림
더샘,26102,에코 소울 루미너스 리얼 세럼 비비 케익,"20,000원",18g,비비크림
더샘,12466,에코 소울 롱웨어 비비 크림 SPF30 PA++,"18,000원",40ml,비비크림
더샘,101521, NEW 스네일 에센셜 EX 오리진 비비 크림 SPF38 PA+++,"26,000원",45ml,비비크림
더샘,35310,에코 소울 파워 프루프 쿨링 비비 쿠션 SPF50+PA+++,"21,000원",13g,"비비크림,쿠션타입"
더샘,88208,샘물 에이씨 컨트롤 비비 SPF30 PA++,"6,000원",30g,비비크림
더샘,12462,샘물 여린 광채 비비 크림 SPF30 PA++,"8,000원",40ml,비비크림
더샘,93312,에코 소울 리얼 커버 비비 SPF47 PA++,"18,000원",45g,비비크림
더샘,16727,에코 소울 파우더 비비 크림 SPF50+ PA+++,"18,000원",45g,비비크림
더샘,26963,샘물 수분 퐁당 젤 비비,"10,000원",25g,비비크림
더샘,26965,샘물 촉촉 광채 비비 SPF37 PA++,"6,000원",35g,비비크림
더샘,12463,샘물 어린 모공 비비 크림 SPF30 PA++,"8,000원",40ml,비비크림
더샘,70813,에코 소울 쿨링 아이스 비비,"18,000원",60ml,비비크림
더샘,12499,씨앤소 에이씨 컨트롤 비비 크림 SPF30 / PA++,"12,000원",50ml,비비크림
더샘,72916,에코 소울 플로리스 스킨 비비 크림,"15,000원",45g,비비크림
더샘,25932,에코 소울 루미너스 오리지널 비비,"16,000원",50ml,비비크림
더셀인,28442,SC 비비크림 SPF25 PA++,"27,000원",30ml,비비크림
더스킨라파,77668,비비크림,"21,000원",50ml,비비크림
더연코스메틱,24461,연꽃 단아한 빛 비비크림 SPF36 PA++,"20,800원",50ml,비비크림
더페이스샵,7729,명한 미인도 리커버리 비비크림,"19,900원",45g,비비크림
더페이스샵,65637,인텐시브 글로우 비비크림 SPF37 PA++,"17,000원",40g,비비크림
더페이스샵,76763,워터프루프 BB SPF50+ PA+++,"17,000원",50ml,비비크림
더페이스샵,82355,닥터벨머 데일리리페어 블레미쉬 밤 쿠션,"22,000원",15g,"비비크림,쿠션타입"
더페이스샵,8419,명한미인도 더할 나위 없는 환생고 골드 에센스 비비 SPF35 PA++,"33,000원",45ml+13ml,비비크림
더페이스샵,23783,매직커버 비비크림 SPF20 PA++,"18,000원",45ml,비비크림
더페이스샵,82584,클린페이스 오일컨트롤 비비크림,"9,000원",35ml,비비크림
더페이스샵,77001,BB 파워 퍼펙션 쿠션 SPF50+ PA+++,"20,000원",15g,"비비크림,쿠션타입"
더페이스샵,34245,페이스 잇 HD 퍼펙트 비비크림 SPF30 PA++,"14,900원",40ml,비비크림
더페이스샵,65641,포토 블러 비비크림 SPF37 PA++,"8,000원",40g,비비크림
더페이스샵,21806,클린페이스 오일컨트롤 비비크림,"9,000원",35ml,비비크림
더페이스샵,610,파워 퍼펙션 BB크림 SPF37 PA++,"23,000원",40g,비비크림
더페이스샵,24324,러블리 믹스 BB크림 SPF20 PA++,"5,900원",40ml,비비크림
더페이스샵,8410,페이스잇 쉬머링 BB크림SPF20 / PA+,"10,900원",40ml,비비크림
더페이스샵,23371,페이스 잇 아쿠아 틴티드 비비크림 SPF20,"14,900원",40ml,비비크림
더페이스샵,26432,페이스 잇 워터프루프 비비 SPF50+ PA+++,"17,000원",50ml,비비크림
더페이스샵,8414,페이스잇 스마트 진동 비비팩트 SPF27 / PA++,"25,900원",9.5g,비비크림
더플랜트베이스(THE PLANT BASE),26787,퍼펙트엔 EGF 토탈 리커버리 BB,"23,000원",40ml,비비크림
데쌍브르 ,59464,스네일 슬라임 블레미쉬 밤,"40,000원",50ml,비비크림
동성제약,59414,궁로설 비비,"60,000원",60ml,비비크림
동인비,16172,동인비영 쿠션비비 SPF50+ PA+++,"50,000원",18g x 2,"비비크림,쿠션타입"
동인비,16171,동인비영 비비크림 SPF45 PA+++,"55,000원",35ml,비비크림
두누룩,72447,글루타믹 브라이트닝 비비크림,"15,000원",50ml,비비크림
듀이트리,19792,헬씨 글로우 비비 SPF42 PA++,"25,000원",50ml,비비크림
드끌레오,16093,이드라 플로랄 멀티 프로텍션 BB 크림 24hr 모이스처 액티베이터,"65,000원",40ml,비비크림
드림웍스,26686,펭귄즈 오브 마다가스카 워터리 비비쿠션 SPF50+ PA+++,"20,000원",12g,"비비크림,쿠션타입"
디뷰스,98708,인텐시브 컴팩트 비비 SPF50+ PA++,"62,000원",15g*2,"비비크림,쿠션타입"
디알쏘스(Dr.Sousu),28585,더 원 비비크림,"12,900원",50g,비비크림
디어베리,47037,커버걸 BB 프라이머,"15,000원",40g,비비크림
