Item_Id,Brand,Product,Category,Rating,Reviews,Buy_Again
50935,Elizabeth Arden,High Shine Lipgloss (All),Lip Gloss,3.5,29,0.44
49940,Sephora ,Super Shimmer Lip Gloss in Bronzed Beauty,Lip Gloss,3.8,29,0.55
23005,Bonne Bell,Lip Lix in The Last Strawberry,Lip Gloss,3.6,29,0.62
44069,NYX Professional Makeup,Sheer Gloss,Lip Gloss,3.8,29,0.72
45186,Bonne Bell,Smooth Shades,Lipstick,3.7,29,0.72
48705,Mary Kay,Signature Lipstick in Raisinberry,Lipstick,3.9,29,0.72
49939,Badger,Chai Rose Lip and Body Balm,Lip Treatments,4.3,29,0.82
23424,Clinique,Different Lipstick,Lipstick,4.1,29,0.75
11607,Victoria's Secret,Lipstick in Ruby Slippers,Lipstick,4.7,29,0.89
21695,Giorgio Armani,Sheer Lipstick #14,Lipstick,4.3,29,0.75
8441,MAC,Retro Matte - Bronx,Lipstick,3.6,29,0.62
1105,Bobbi Brown,Cream Lip gloss,Lip Gloss,4.2,29,0.82
701,Dirty Girl,Get Ready Raspberry Lipbalm,Lip Treatments,3.9,29,0.82
52808,Lancome,Juicy Tubes - Ultra-Light Kirsch,Lip Gloss,4.4,29,0.86
1101,Bobbi Brown,Lipstains,Lipstick,3.9,29,0.79
6839,MAC,Lipglass in Succulent,Lip Gloss,4.0,29,0.75
7347,Rimmel,Vinyl Lip in Mmmm,Lip Gloss,3.7,29,0.68
2356,Clinique,All Different Lipsticks!,Lips,3.9,29,0.75
8163,Prada,Shielding Lip Balm SPF 15 - Tint 5,Lip Treatments,4.6,29,0.89
8355,MAC,Chroma Camel lipglass stain,Lip Gloss,3.7,29,0.65
8415,Too Faced,Gossip Glosses,Lip Gloss,4.5,29,0.93
9638,Bobbi Brown,Lipstick in Burnt Red,Lipstick,4.2,29,0.75
21497,Almay,Pure Tints in Mauve,Lip Treatments,3.1,29,0.55
10861,Chanel,Lollipop Glossmier,Lip Gloss,4.3,29,0.86
11395,Stila,Rose Shine,Lip Gloss,4.0,29,0.75
2587,Smashbox,Lipgloss in Sassy,Lip Gloss,4.6,29,0.96
3177,Victoria's Secret,Smooth Talk Creamy Lip Color,Lipstick,4.1,29,0.79
12007,Revlon,Colorstay Lip Liner in Nude 630,Lip Liners,4.3,29,0.79
12233,Chanel,Glossimer - Electric ,Lip Gloss,4.1,29,0.72
14356,Bonne Bell,Cosmic Lip Smackers,Lip Gloss,4.1,29,0.79
15428,Annabelle,Le Gloss Lip Lacquer,Lip Gloss,4.7,29,0.93
17809,Bobbi Brown,Aubergine Lip Gloss,Lip Gloss,3.4,29,0.48
20341,GAP Beauty,Lip Gloss,Lip Gloss,3.9,29,0.72
52328,Estee Lauder,Pure Pops Brush-on Color 'Pink Cupcake',Lip Gloss,3.8,29,0.51
44389,Lancome,Juicy Tubes in Marshmallow,Lip Gloss,4.3,29,0.79
52999,Tarte,Jake and Samantha,Lip Gloss,4.0,29,0.75
88445,L'Oreal,Colour Riche in Sugar Plum,Lipstick,4.5,29,0.86
97921,Wet 'n' Wild,Silk Finish - Retro Pink #525D,Lipstick,4.5,29,0.86
99987,MAC,Twig-Twig,Lipstick,4.2,29,0.75
102181,MAC,Sugar Trance,Lip Gloss,4.5,29,0.86
104797,Clinique,Long Last Glosswear -  Bamboo Pink,Lip Gloss,3.4,29,0.51
105546,Lipstick Queen,Oxymoron,Lipstick,3.9,29,0.79
112881,Kat Von D,Lightening Sheer Lip Gloss,Lip Gloss,3.3,29,0.51
115813,Revlon,Super Lustrous - Peach Me,Lipstick,4.1,29,0.72
115826,e.l.f.,Nicely Nude,Lipstick,3.8,29,0.55
121775,C.O. Bigelow ,Lemon Lip Balm,Lips,4.3,29,0.82
126683,NARS,Shrinagar,Lipstick,4.8,29,0.93
168405,Maybelline,Color Sensational The Buffs (All Shades),Lipstick,4.5,29,0.93
175701,Maybelline,Color Drama ,Lipstick,4.6,29,0.96
128797,e.l.f.,Studio Lip Lock Pencil,Lip Treatments,3.9,29,0.65
149769,Avon,Shine Attract,Lipstick,2.8,29,0.41
150031,MAC,Pro Longwear Lipglass,Lip Gloss,4.3,29,0.86
150651,Fresh,Sugar Passion Tinted Lip Treatment,Lip Treatments,4.2,29,0.82
159912,Wet 'n' Wild,Fergie Perfect Pout Lip Color - Fergie Daily,Lipstick,4.2,29,0.86
162906,Soap & Glory,A Great Kisser,Lip Treatments,4.1,29,0.72
11632,Bloom,Lipgloss in Sugar,Lip Gloss,4.5,29,0.86
23698,MAC,Boy Magnet Lipglass,Lip Gloss,4.0,29,0.72
26630,Lancome,lip dimension,Lipstick,3.9,29,0.75
24410,Jane,Lucky Star Lipstick,Lipstick,3.5,29,0.72
16637,Lancome,Juicy Tubes - Fizz,Lip Gloss,3.8,29,0.68
95153,Cover Girl,Wetslicks Fruit Spritzer Fig Splash,Lip Gloss,3.1,29,0.51
125789,MAC,Matte - Sin,Lipstick,4.7,29,0.89
88382,Maybelline,Moisture Extreme- Peach Colada,Lipstick,4.4,29,0.82
64175,Le Couvent des Minimes,Honey and Shea Butter Lip Balm,Lip Treatments,3.8,29,0.62
58590,e.l.f.,Luscious Liquid Lipstick in Bark,Lipstick,4.3,29,0.86
43386,Ulta,Super Shiny Lip Gloss Goddess,Lip Gloss,4.4,29,0.89
43395,Giorgio Armani,Lip Shimmer #9,Lip Gloss,4.7,29,0.86
84996,e.l.f.,Luscious Liquid Lipstick in Maple Sugar,Lip Gloss,3.8,29,0.82
56059,Givenchy,pop gloss,Lip Gloss,4.1,29,0.79
85291,MAC,Plushglass - Pretty Plush,Lip Gloss,4.2,29,0.65
86341,e.l.f.,Luscious Liquid Lipstick in Ruby Slipper,Lip Gloss,3.9,29,0.79
87241,Mary Kay,Mk Signature NouriShine ,Lip Gloss,4.4,29,0.93
88220,MAC,Barbie-Style it Up,Lipstick,3.9,29,0.51
63611,L'Oreal,Color Juice - Taheati,Lip Gloss,4.6,29,0.86
58877,Guerlain,Divinora 480,Lipstick,4.3,29,0.75
81437,MAC,Plushglass in Wet  Wild and Wonderful,Lip Gloss,3.8,29,0.62
88226,Olay,Regenerist Anti-Aging Lip Treatment,Lip Treatments,2.8,29,0.41
70750,Unlisted Brand,Stung - Lip Plumper,Lip Treatments,4.0,29,0.79
72639,LUSH,Eggsnog,Lip Treatments,2.6,29,0.24
83516,Unlisted Brand,Lipcote Lipstick Sealer ,Lips,2.8,29,0.44
74067,Neutrogena,moistureshine lip soother-gleam,Lip Gloss,4.1,29,0.79
78322,Dior,DiorKiss-Snow Cherry,Lip Gloss,4.7,29,0.89
44792,MAC,Wild Girl Lipglass,Lip Gloss,4.1,28,0.75
46792,Chanel,Barely Fig,Lip Gloss,3.8,28,0.53
41269,Urban Decay,Lube in a Tube - LA,Lip Gloss,3.5,28,0.64
46672,Dior,Addict Ultra-Shine Sheer - 352 Shiniest Coral,Lipstick,4.3,28,0.75
46174,L'Oreal,Colour Riche in Saucy Mauve,Lipstick,4.3,28,0.78
44511,MAC,Lipglass Bazaarish,Lip Gloss,4.1,28,0.64
44696,Bonne Bell,Smacker Starburst Juicy Liquid Lip Gloss,Lip Gloss,4.4,28,0.89
51997,Eve Lom,Kiss Mix,Lip Treatments,3.4,28,0.5
52332,Estee Lauder,Pure Pops Brush-on Color 'Berry Twist',Lip Gloss,3.9,28,0.57
42120,MAC,Coco Framboise,Lip Gloss,3.9,28,0.75
47771,Chanel,Aqualumiere #43 - Portofino,Lipstick,4.6,28,0.82
42309,Lancome,Tahuata Juicy Tubes,Lip Gloss,4.6,28,0.85
47743,DuWop,Coral Tree,Lip Gloss,4.4,28,0.89
79313,Unlisted Brand,Hempz Herbal Lip Balm,Lip Treatments,4.0,28,0.78
48885,Chanel,Aqualumiere Lipshine #34 Acapulco,Lipstick,4.4,28,0.82
49097,Almay,Whipped Gloss- Sheer Raspberry,Lip Gloss,3.5,28,0.5
49120,Chanel,Aqualumiere Lipstick #37 - Ipanema,Lipstick,4.5,28,0.78
49694,Bobbi Brown,Lip Tint in Punch,Lip Gloss,4.4,28,0.85
50904,Labello,Honey and Milk,Lip Treatments,4.6,28,0.92
65914,Rimmel,Lasting Finish - Drop of Sherry,Lipstick,4.4,28,0.85
71317,Clinique,Colour Surge Butter Shine Lipstick in Praline,Lipstick,4.4,28,0.75
76796,Mary Kay,Timewise Age Fighting Lip Primer,Lip Treatments,4.4,28,0.82
68729,Dior,Dior Addict Plastic Gloss- Capricious Pink 002,Lip Gloss,4.3,28,0.85
69879,Clinique,Butter Shine Lipstick - Cranberry Cream,Lipstick,4.2,28,0.82
70937,Clinique,Colour Surge Butter Shine Lipstick Perfect Plum,Lips,4.6,28,0.89
38397,MAC,Joyberry Lipglass,Lip Gloss,4.1,28,0.71
76650,Chanel,Glossimer - Coral Reef ,Lip Gloss,4.5,28,0.78
39162,MAC,V-Red,Lip Gloss,4.0,28,0.67
2220,Paula Dorf,Perfect Illusion,Lip Treatments,4.2,28,0.71
36946,Cover Girl,WetSlicks Lip Gloss - Patently Pink,Lip Gloss,4.0,28,0.82
34659,Clinique,Long Last Soft Shine in Perfect Beige,Lipstick,4.1,28,0.75
4768,Clinique,Liquid Lipstick SPF 15,Lip Gloss,3.7,28,0.78
7551,Stila,Olivia Lipstick,Lipstick,4.2,28,0.67
8363,Chanel,Glossimer - Hacienda ,Lip Gloss,3.6,28,0.6
18359,MAC,BBQ lip pencil,Lip Liners,4.2,28,0.85
1487,Calvin Klein,Lip Color (all colors),Lipstick,4.4,28,0.89
1778,Philosophy,Supernaturals,Lips,4.1,28,0.85
1826,LORAC,lip gloss (pot form),Lip Gloss,2.9,28,0.35
53686,Lancome,Primordiale Lip,Lip Treatments,3.5,28,0.64
3388,Jane,Barely Lips (any color),Lipstick,4.3,28,0.82
24858,Bonne Bell,Lip Smacker - 2000 Cookies,Lip Gloss,3.6,28,0.6
23046,Almay,Pure Tints in Blush,Lip Treatments,2.4,28,0.17
18741,Maybelline,Wet Shine Diamonds-Pink Diamonds,Lipstick,3.8,28,0.67
19467,Lancome,Le Lipstique in Bronzelle,Lip Liners,4.6,28,0.89
25406,Wet 'n' Wild,Megaslicks #577 Red Sensation,Lip Gloss,3.5,28,0.6
26369,Bonne Bell,Liquid Star Shine,Lip Gloss,2.5,28,0.46
28129,Alexis Vogel,Alexis Vogel Lip Gloss in Bliss,Lip Gloss,4.0,28,0.71
28515,Stila,Lip Glaze Palette - The Pinks,Lip Gloss,4.0,28,0.67
29658,Chantecaille,Lipgloss in Taffy,Lip Gloss,4.7,28,0.89
29880,Studio Gear,Lipstick,Lipstick,4.5,28,0.92
30268,Black Radiance,Lipstick (All Shades) ,Lipstick,3.9,28,0.78
30496,Avon,Country Fair Lip Balm - Lemonade,Lip Treatments,4.6,28,0.89
31260,MAC,Sunset lipglass (tan ray),Lip Gloss,3.3,28,0.5
