,category,num_of_reviews,product_id
39883,브러쉬,7.0,81260
39884,스펀지/퍼프,11.0,94393
39885,브러쉬,7.0,81191
39886,뷰러,9.0,89715
39887,브러쉬,1.0,73199
39888,스펀지/퍼프,13.0,98168
39889,브러쉬,10.0,84372
39890,브러쉬,15.0,50681
39891,스펀지/퍼프,21.0,90546
39892,브러쉬,10.0,81261
39893,브러쉬,11.0,73407
39894,브러쉬,28.0,58333
39895,브러쉬,18.0,74511
39896,브러쉬,14.0,80636
39897,아이소품,20.0,3005
39898,브러쉬,17.0,80197
39899,브러쉬,19.0,81785
39900,브러쉬,27.0,57933
39901,브러쉬,4.0,83806
39902,브러쉬,3.0,84429
39903,브러쉬,14.0,57913
39904,브러쉬,4.0,86996
39905,브러쉬,1.0,82265
39906,브러쉬,4.0,81787
39907,브러쉬,1.0,81193
39908,브러쉬,1.0,93826
39909,브러쉬,1.0,87000
39910,브러쉬,1.0,84344
39911,브러쉬,1.0,84363
39912,브러쉬,1.0,104105
39913,브러쉬,1.0,83849
39914,브러쉬,1.0,84431
39915,브러쉬,1.0,84430
39916,브러쉬,1.0,76699
39917,브러쉬,2.0,81188
39918,브러쉬,1.0,85273
39919,브러쉬,2.0,1589
39920,브러쉬,2.0,82182
39921,브러쉬,2.0,88888
39922,브러쉬,1.0,81189
39923,브러쉬,1.0,85195
39924,브러쉬,9.0,57929
39925,브러쉬,1.0,89996
39926,스펀지/퍼프,4.0,79748
39927,마스크시트,0.0,98641
39928,마스크시트,0.0,98640
39929,마스크시트,0.0,98639
39930,마스크시트,0.0,98642
39931,"베이비스킨케어,베이비바디",0.0,62669
39932,베이비스킨케어,0.0,62629
39933,베이비스킨케어,0.0,62641
39934,베이비클렌저/샴푸,0.0,62665
39935,베이비스킨케어,0.0,62653
39936,스킨,2.0,82776
39937,스킨,0.0,82775
39938,로션,0.0,20074
39939,필오프,0.0,97157
39940,모공케어,0.0,88886
39941,에센스,0.0,100353
39942,에센스,0.0,20904
39943,크림,0.0,20903
39944,클렌징워터,0.0,97162
39945,워시오프,0.0,20906
39946,픽서/영양제,0.0,11274
39947,"에센스,화이트닝케어",0.0,23880
39948,워시오프,0.0,20902
39949,클렌징젤,0.0,97165
39950,크림,0.0,86408
39951,선블록,2.0,20905
39952,선블록,1.0,78565
39953,아이케어,1.0,97175
39954,바디워시,1.0,102405
39955,스크럽/필링,1.0,97167
39956,"수면팩,워시오프",1.0,78693
39957,씨씨크림,1.0,50113
39958,바디로션,2.0,20907
39959,"수면팩,워시오프",3.0,78694
39960,샴푸,0.0,99658
39961,트리트먼트/팩,10.0,76993
39962,헤어에센스,4.0,74073
39963,샴푸,7.0,91937
39964,트리트먼트/팩,6.0,74071
39965,샴푸,4.0,74072
39966,헤어에센스,29.0,74068
39967,트리트먼트/팩,3.0,74070
39968,샴푸,15.0,94577
39969,샴푸,22.0,74067
39970,트리트먼트/팩,2.0,74069
39971,톤업크림,0.0,101879
39972,"비비크림,쿠션타입",1.0,103369
39973,미스트,0.0,106163
39974,클렌징폼,0.0,106162
39975,씨씨크림,0.0,101880
