,review,score,tag
33,40대초반입니다! 트러블도 심하고 화장하고 1시간후면 번들거려서 이것저것 좋다는화운데이션은다써보았는데 .... 근데 엔뜨라나 비비크림 배송이빨라서 오늘 받자마자 발라봤는데 발림성이좋네요^^일단 콜마제품이라는것때문에 구입했읍니다 ^^ 펄감은별루지만 화사한느낌이들고 비비크림제품치곤 커버력도괸찮은듯해요!~~ 더서봐야알겠지만 느낌은좋읍니다! 써보고 괸찬으면 모공세럼이런것있으면구입할까합니다! 왕번창하세요^^!~~~훗훗~엔뜨라다입니다......,5,
34,"많은 분들의 리플이 믿어 의심치 않아 구입을 하였는데 역시 최고네요.. UV차단은 물론, 얼굴을 하얗게 화이트닝 해주고.. Wrinkle..링클(주름)개선에 한국콜마에서 만든게 역시 틀리네요.. 미팅할때 잘 사용하였답니다^^V 그거써서 칸지 저녁에 그거살때 폼클린징도 사은품(기타 몇가지 함께..) 왔던데.. 그걸로 클리닝했는데.. 얼굴이 쫙 펴지는데.. 다음에 한번더 써봐야겠어요.. 아주 좋아요.. 서울엔 남성들도 평소 자주 쓴다던데 난 중부지방총각..ㅋ 인데 하나 준비해놨는데..여성은 필수품이네요 보니깐.. 남자들은 하나쯤있음 유용할것 같구요.. 굳이예요~~",5,
35,"원래 엔뜨라다 비비 좋은건 알고있던거라다른거랑 비교도 안해보고 바로 구매했어요^^예전에 선물받아서 써봤는데다른 비비보다 발림성도 좋고 들뜨는것도 없이피부에 착 감겨서 처음 발라보자 마자 와.. 좋다이런 생각 해서 꼭 재구매 해야지 생각했거든요^^자연스럽게 쌩얼에 쓰실분들, 고민마시고 구매하세요.아 다만 흠이있다면 커버력은 타제품에 비해 조금 떨어져요^^",5,
36,우선 배송은 빨랐어요. 가격이 약간 ?에도 불구하고 상품평 보고 사는 거라서 기대 많이 했거든요? 음...향은 좋네요. ㅋ 넘 궁금해서 오늘 당장하고 나갔는데..커버력도 그다지 별로인거 같고 펄은 거의 없는 거 같아요. 아주 약간?? 저한테는 안맞는건지 살짝 떠 보이기도 하고요. 근데 색의 밝기는 적당한거 같아요. 한통이나 더 있는데 어떻게 해야할지..ㅠㅠ 뭐 맞는 사람은 좋다고 하는데..저는 잘 모르겠네요. 그 타입이 부럽다는ㅋㅋㅋ 같이 왔던 팩이랑 여러가지 샘플 잘쓸게요;.,3,
37,상품평이 모두 좋은 거 같아서 별 망설임 없이 구매했지요. 배송은 엄청 빨라서 좋았어요. 게다가 두개씩이나 저렴한 가격에 받으니 제품만 좋다면 정말 엄청난 거다 생각했죠. 받자마자 다음날 발라 봤어요. 그런데.... 뭐랄까 내 피부와는 궁합이 안 맞나봐요. 피부 흡착감도 그렇고 얼굴도 시간이 지나니까 당기고 오후 되니까 피부가 칙칙해 보이네요. 가격이 저렴한 거 때문에 평들이 좋았던건지.... 두개씩이나 받았으니 참으로 처치곤란하네요.,3,
38,좋네요!!! 일단 싸서 좋구요. 이상하게 기재된 가격보다 300원 더 냈지만. 깔끔하게 2만원에 두개. 그리고 많은 샘플이 와서 좋아요 ㅎㅎ오자마자 바르고 나갔는데. 처음에 발랐을때는 전에 쓰던 닥터XXX보다 안좋다 생각했는데.그냥 내츄럴하게 만드는거 같아요! 적당히 커버감도 있고 펄도 있고만족합니다.!참 배송은 완전 총알배송! ㅋㅋㅋㅋ,5,
39,"한스킨 비비만 썼었는데, 첨에 발랐을 때 뜨는 느낌이 나서 반품할까,,, 매우 걱정했습니다. 그러나, 피부에 일주일간 적응 기간을 두자...싶어서 꾹 참고 발랐었죠. 일주일 정도 지나니깐 피부도 새로운 제품에 적응 되는듯 싶네요. 생각보다 농도가 좀 잇는듯해 아주 소량만 발랐는데.. 피부에 착 감기고. 윤기 또한,, 아참 첨엔 얼굴 빛이 어두운듯해서 놀랐었습니다. 선크림도 함유 되어 있어 출근전 화장 시간 단축되어 좋습니다. 괜찮네요, 추천합니다~",5,
40,"화장을 안하는 편이라 평소에 썬크림만 발랐었어요.1~2년전에 BB크림이 선풍적인 인기가 있었어도 전 관심이 없었는데나이가 들면서 피부톤을 고르게 하고 싶은 마음에 11번가에 들어왔지요~BB크림이 어떤게 좋은지 몰라 망설임없이 BEST 1위 상품을 구매했습니다.역시 안바른듯 가볍고 촉촉한 느낌이 좋네요^^나의 첫 BB ""엔뜨라다"" ",5,
41,"매트하고, 잘먹어요. 다른비비보다 색이 진한편이고, 우리남편 밖에서 일하느라고 많이 그을려 다행히 튀지 않아 좋네요. 옹량이 작아서 1+1이 아니었다면 실망할뻔! 했어요. 사은품도 오고, 집에서 하나, 휴대용 하나로 잘 사용해서 우리 남편 멋져보였음 좋겠어요. ",5,
42,"아는 언니의 소개로 사용하게 되었답니다. 1+1이기 때문에 둘이서 하나씩 나눠 쓰게 되었답니다. 피부는 흰 편이긴 하나 기름기가 잘 생기는 얼굴이예요. 점심 지나면 다시 기름종이로 닦아야하는 타입, 아시죠? 그런데 이 비비크림을 쓰고 나서는 메이컵베이스 바르고 썬크림 바르고 화장하는 습관이 비비크림하나로 줄어들어 시간도 절약되고 기름기가 덜 생겨요. 번들거리지 않고 오래갑니다. 재구매를 세번이나 했어요.",5,
